Metric,Target,Where To Track,Review Cadence,Decision Rule
Organic post saves,5+ per strong post,Instagram/Facebook insights,Weekly,Reuse/save-heavy topics in carousel or reel format.
Organic post comments,3+ on a campaign post,Post comments and DMs,Weekly,Reply manually and offer guide link.
Profile visits,Increase from baseline,Instagram/Facebook insights,Weekly,If visits rise but clicks do not, improve bio/link placement.
BoldTrail form submissions,3+ before paid test,BoldTrail,Daily during launch,If threshold is met, consider paid test.
Meaningful clicks,10+ before paid test,BoldTrail/link tracker,Weekly,If clicks but no forms, reduce form friction.
DM conversations,5+ campaign-related DMs,Instagram/Facebook inbox,Weekly,Add manual follow-up task in BoldTrail.
Appointments,1+ from campaign leads,BoldTrail pipeline,Weekly,Track source as 33428 Homeowner Snapshot.
Cost per lead,Only after paid test,Meta Ads + BoldTrail,After 7-10 day test,Continue only if lead quality justifies spend.
Lead-to-reply rate,25%+ from opt-ins,BoldTrail/email/text logs,Weekly,If low, revise first text and ask simpler question.
MLS stats updated,Before public stat claim,MLS/manual check,Before publishing,Do not publish numbers unless verified.

